_id,id,titleText,releaseYear,releaseDate
61e57fd68563151ff1777f4a,tt0000072,"{'text': 'Départ des officiers', '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}",
61e57fd68563151ff1777f4c,tt0000024,"{'text': 'Opening of the Kiel Canal', '__typename': 'TitleText'}","{'year': 1895, 'endYear': None, '__typename': 'YearRange'}","{'day': 19, 'month': 6, 'year': 1895, '__typename': 'ReleaseDate'}"
61e57fd68563151ff1777f4e,tt0000023,"{'text': 'Baignade en mer', '__typename': 'TitleText'}","{'year': 1895, 'endYear': None, '__typename': 'YearRange'}","{'day': 28, 'month': 6, 'year': 1896, '__typename': 'ReleaseDate'}"
61e57fd68563151ff1777f50,tt0000084,"{'text': 'Les ivrognes', '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}",
61e57fd68563151ff1777f52,tt0000083,"{'text': 'Les indiscrets', '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}",
61e57fd68563151ff1777f54,tt0000013,"{'text': 'Le débarquement du congrès de photographie à Lyon', '__typename': 'TitleText'}","{'year': 1895, 'endYear': None, '__typename': 'YearRange'}","{'day': 12, 'month': 6, 'year': 1895, '__typename': 'ReleaseDate'}"
61e57fd68563151ff1777f56,tt0000074,"{'text': 'Enfants jouant sur la plage', '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}",
61e57fd68563151ff1777f58,tt0000098,"{'text': ""Place de l'Opéra, 2e aspect"", '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}",
61e57fd68563151ff1777f5a,tt0000070,"{'text': ""Démolition d'un mur"", '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}","{'day': 6, 'month': 3, 'year': 1896, '__typename': 'ReleaseDate'}"
61e57fd68563151ff1777f5c,tt0000089,"{'text': 'Départ de Jérusalem en chemin de fer', '__typename': 'TitleText'}","{'year': 1897, 'endYear': None, '__typename': 'YearRange'}","{'day': None, 'month': None, 'year': 1897, '__typename': 'ReleaseDate'}"
61e57fd68563151ff1777f5e,tt0000232,"{'text': 'Le chiffonnier', '__typename': 'TitleText'}","{'year': 1899, 'endYear': None, '__typename': 'YearRange'}",
61e57fd68563151ff1777f60,tt0000238,"{'text': ""Les dangers de l'alcoolisme"", '__typename': 'TitleText'}","{'year': 1899, 'endYear': None, '__typename': 'YearRange'}",
61e57fd68563151ff1777f62,tt0000206,"{'text': 'Llegada de un tren a la estación de ferrocarril del Norte, de Barcelona', '__typename': 'TitleText'}","{'year': 1898, 'endYear': None, '__typename': 'YearRange'}",
61e57fd68563151ff1777f64,tt0000204,"{'text': 'Jésus devant Pilate', '__typename': 'TitleText'}","{'year': 1898, 'endYear': None, '__typename': 'YearRange'}",
61e57fd68563151ff1777f66,tt0000236,"{'text': 'Courte échelle', '__typename': 'TitleText'}","{'year': 1899, 'endYear': None, '__typename': 'YearRange'}",
61e57fd68563151ff1777f68,tt0000180,"{'text': 'Le chemin de croix', '__typename': 'TitleText'}","{'year': 1898, 'endYear': None, '__typename': 'YearRange'}",
61e57fd68563151ff1777f6a,tt0000270,"{'text': ""Arrivée d'Arléquin"", '__typename': 'TitleText'}","{'year': 1900, 'endYear': None, '__typename': 'YearRange'}",
61e57fd68563151ff1777f6c,tt0000268,"{'text': ""L'arléquine"", '__typename': 'TitleText'}","{'year': 1900, 'endYear': None, '__typename': 'YearRange'}",
61e57fd6947ef0b36e777f4a,tt0000077,"{'text': 'Le fakir, mystère indien', '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}",
61e57fd6947ef0b36e777f4c,tt0000032,"{'text': 'Die Serpentintänzerin', '__typename': 'TitleText'}","{'year': 1895, 'endYear': None, '__typename': 'YearRange'}","{'day': 1, 'month': 11, 'year': 1895, '__typename': 'ReleaseDate'}"
61e57fd6947ef0b36e777f4e,tt0000085,"{'text': 'Jardinier brûlant des herbes', '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}",
61e57fd6947ef0b36e777f50,tt0000058,"{'text': 'Cortège de tzar au Bois de Boulogne', '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}","{'day': None, 'month': None, 'year': 1896, '__typename': 'ReleaseDate'}"
61e57fd6947ef0b36e777f52,tt0000031,"{'text': 'Le saut à la couverture', '__typename': 'TitleText'}","{'year': 1895, 'endYear': None, '__typename': 'YearRange'}","{'day': None, 'month': 7, 'year': 1896, '__typename': 'ReleaseDate'}"
